first_long_covid_date,long_covid
2020-01-05,6.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,
2020-03-08,
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,
2020-05-31,0.0
2020-06-07,
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,
2020-07-05,0.0
2020-07-12,
2020-07-19,0.0
2020-07-26,
2020-08-02,
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,
2020-09-06,
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,
2020-10-04,
2020-10-11,
2020-10-18,
2020-10-25,
2020-11-01,
2020-11-08,
2020-11-15,
2020-11-22,7.0
2020-11-29,6.0
2020-12-06,12.0
2020-12-13,27.0
2020-12-20,52.0
2020-12-27,52.0
2021-01-03,41.0
2021-01-10,115.0
2021-01-17,118.0
2021-01-24,125.0
2021-01-31,205.0
2021-02-07,245.0
2021-02-14,299.0
2021-02-21,300.0
2021-02-28,507.0
2021-03-07,408.0
2021-03-14,478.0
2021-03-21,458.0
2021-03-28,367.0
2021-04-04,311.0
2021-04-11,274.0
2021-04-18,349.0
2021-04-25,202.0
