first_post_viral_fatigue_date,post_viral_fatigue
2020-02-02,0
2020-02-09,65
2020-02-16,45
2020-02-23,40
2020-03-01,40
2020-03-08,35
2020-03-15,35
2020-03-22,25
2020-03-29,15
2020-04-05,30
2020-04-12,25
2020-04-19,40
2020-04-26,65
2020-05-03,50
2020-05-10,70
2020-05-17,85
2020-05-24,95
2020-05-31,70
2020-06-07,80
2020-06-14,90
2020-06-21,80
2020-06-28,75
2020-07-05,85
2020-07-12,90
2020-07-19,95
2020-07-26,95
2020-08-02,75
2020-08-09,75
2020-08-16,55
2020-08-23,45
2020-08-30,65
2020-09-06,50
2020-09-13,80
2020-09-20,65
2020-09-27,75
2020-10-04,75
2020-10-11,80
2020-10-18,85
2020-10-25,90
2020-11-01,100
2020-11-08,80
2020-11-15,110
2020-11-22,100
2020-11-29,120
2020-12-06,110
2020-12-13,120
2020-12-20,100
2020-12-27,55
2021-01-03,80
2021-01-10,130
2021-01-17,120
2021-01-24,140
2021-01-31,155
2021-02-07,120
2021-02-14,100
2021-02-21,80
2021-02-28,80
2021-03-07,80
2021-03-14,65
2021-03-21,50
2021-03-28,60
2021-04-04,30
2021-04-11,45
2021-04-18,40
2021-04-25,50
2021-05-02,40
2021-05-09,30
2021-05-16,30
2021-05-23,35
2021-05-30,25
2021-06-06,20
2021-06-13,35
2021-06-20,20
2021-06-27,25
2021-07-04,20
2021-07-11,30
2021-07-18,35
2021-07-25,25
2021-08-01,30
2021-08-08,35
2021-08-15,35
2021-08-22,30
2021-08-29,40
2021-09-05,30
2021-09-12,45
2021-09-19,40
2021-09-26,45
2021-10-03,45
2021-10-10,40
2021-10-17,55
2021-10-24,45
2021-10-31,55
2021-11-07,50
2021-11-14,45
2021-11-21,55
2021-11-28,45
2021-12-05,45
2021-12-12,50
2021-12-19,45
2021-12-26,30
2022-01-02,20
2022-01-09,40
2022-01-16,50
2022-01-23,60
2022-01-30,55
2022-02-06,60
2022-02-13,55
2022-02-20,50
2022-02-27,35
2022-03-06,35
