first_long_covid_date,long_covid
2020-01-05,6.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,
2020-03-08,
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,
2020-05-31,0.0
2020-06-07,
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,
2020-10-04,
2020-10-11,
2020-10-18,
2020-10-25,
2020-11-01,
2020-11-08,
2020-11-15,
2020-11-22,7.0
2020-11-29,6.0
2020-12-06,10.0
2020-12-13,27.0
2020-12-20,50.0
2020-12-27,51.0
2021-01-03,40.0
2021-01-10,112.0
2021-01-17,114.0
2021-01-24,119.0
2021-01-31,200.0
2021-02-07,240.0
2021-02-14,291.0
2021-02-21,295.0
2021-02-28,490.0
2021-03-07,402.0
2021-03-14,467.0
2021-03-21,450.0
2021-03-28,347.0
2021-04-04,206.0
